Timestamp;Heart beat;Heart rate;Min heart rate;Max heart rate;
10/01/2023 10:30:29;1;81;81;81;
10/01/2023 10:30:30;2;81;81;81;
10/01/2023 10:30:31;3;81;81;81;
10/01/2023 10:30:32;4;81;81;81;
10/01/2023 10:30:33;5;82;81;82;
10/01/2023 10:30:34;6;82;81;82;
10/01/2023 10:30:35;7;82;81;82;
10/01/2023 10:30:36;8;81;81;82;
10/01/2023 10:30:37;9;81;81;82;
10/01/2023 10:30:38;10;81;81;82;
10/01/2023 10:30:39;11;82;81;82;
10/01/2023 10:30:40;12;82;81;82;
10/01/2023 10:30:41;13;82;81;82;
10/01/2023 10:30:42;14;81;81;82;
10/01/2023 10:30:43;15;80;80;82;
10/01/2023 10:30:44;16;80;80;82;
10/01/2023 10:30:45;17;80;80;82;
10/01/2023 10:30:46;18;79;79;82;
10/01/2023 10:30:47;19;79;79;82;
10/01/2023 10:30:48;20;78;78;82;
10/01/2023 10:30:49;21;79;78;82;
